borrower_id,borrower_name,region,sector,years_in_operation,operation_size_acres,herd_size_head,relationship_start_date,primary_loan_officer
BOR-1001,Radke Harvest Moon Grain Farms Ltd.,Alberta,Grain & Oilseed,19,1715.0,,2015-07-01,R. Yaremko
BOR-1002,Voss Big Sky Family Farm,Alberta,Mixed Farming,11,2842.0,213.0,2016-07-01,J. Halvorsen
BOR-1003,Dueck Wheatland Family Farm,Manitoba,Mixed Farming,22,2232.0,185.0,2018-07-01,D. Sorensen
BOR-1004,Voss Qu'Appelle Valley Grain Co.,Saskatchewan,Grain & Oilseed,11,2376.0,,2015-07-01,T. Braun
BOR-1005,Petrov Qu'Appelle Valley Grain Co.,Saskatchewan,Grain & Oilseed,25,2058.0,,2023-07-01,T. Braun
BOR-1006,Friesen Prairie Ranch Ltd.,Alberta,Livestock,36,,67.0,2016-07-01,T. Braun
BOR-1007,Janzen Silver Birch Livestock Co.,Alberta,Livestock,14,,212.0,2025-07-01,J. Halvorsen
BOR-1008,Petrov Rolling Hills Grain Co.,Saskatchewan,Grain & Oilseed,14,1425.0,,2012-07-01,K. Lund
BOR-1009,Dueck Qu'Appelle Valley Farms Ltd.,Saskatchewan,Grain & Oilseed,14,2295.0,,2019-07-01,T. Braun
BOR-1010,Radke Elk Valley Dairy Farm Ltd.,Saskatchewan,Dairy,7,,303.0,2023-07-01,D. Sorensen
BOR-1011,O'Neil Qu'Appelle Valley AgriBusiness Ltd.,Manitoba,Mixed Farming,16,1397.0,65.0,2019-07-01,C. Friesen
BOR-1012,Anholt Sunrise AgriBusiness Ltd.,Manitoba,Mixed Farming,20,1491.0,267.0,2023-07-01,R. Yaremko
BOR-1013,Klassen Northern Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,12,1351.0,,2018-07-01,K. Lund
BOR-1014,Anholt Sunrise Cattle Co.,Manitoba,Livestock,27,,306.0,2015-07-01,T. Braun
BOR-1015,Kristoff Big Sky Farms Ltd.,Saskatchewan,Grain & Oilseed,17,1905.0,,2019-07-01,S. Kowalski
BOR-1016,Novikov Meadowbrook Grain Co.,Alberta,Grain & Oilseed,41,1255.0,,2021-07-01,M. Reimer
BOR-1017,Braun Harvest Moon Grain Co.,Alberta,Grain & Oilseed,10,2174.0,,2017-07-01,D. Sorensen
BOR-1018,O'Neil Silver Birch Grain Co.,Saskatchewan,Grain & Oilseed,8,1908.0,,2025-07-01,P. Anholt
BOR-1019,Kessler Cypress Hills Family Farm,Saskatchewan,Mixed Farming,22,1935.0,89.0,2020-07-01,J. Halvorsen
BOR-1020,Enns Qu'Appelle Valley Cattle Co.,Saskatchewan,Livestock,35,,186.0,2011-07-01,P. Anholt
BOR-1021,Schmidt Northern Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,4,983.0,,2023-07-01,T. Braun
BOR-1022,Fischer Harvest Moon Farms Ltd.,Alberta,Mixed Farming,14,2369.0,218.0,2024-07-01,T. Braun
BOR-1023,Enns Northern Dairy Ltd.,Alberta,Dairy,20,,635.0,2023-07-01,P. Anholt
BOR-1024,Wiebe Cypress Hills Grain Farms Ltd.,Manitoba,Grain & Oilseed,12,1566.0,,2020-07-01,A. Dubois
BOR-1025,Dubois Cypress Hills Farms Ltd.,Saskatchewan,Grain & Oilseed,7,694.0,,2019-07-01,C. Friesen
BOR-1026,Wiebe Bluestem Ranch Ltd.,Saskatchewan,Livestock,40,,373.0,2012-07-01,M. Reimer
BOR-1027,Kristoff Prairie Farms Ltd.,Saskatchewan,Grain & Oilseed,20,2283.0,,2025-07-01,C. Friesen
BOR-1028,Iverson Whitecap AgriBusiness Ltd.,Alberta,Mixed Farming,21,5039.0,301.0,2012-07-01,A. Dubois
BOR-1029,Thorsen Stonebridge Farms Ltd.,Manitoba,Grain & Oilseed,28,801.0,,2024-07-01,R. Yaremko
BOR-1030,Janzen Harvest Moon Grain Co.,Alberta,Grain & Oilseed,19,1493.0,,2013-07-01,T. Braun
BOR-1031,Novak Rolling Hills Livestock Co.,Saskatchewan,Livestock,7,,194.0,2024-07-01,M. Reimer
BOR-1032,Klassen Harvest Moon Family Farm,Manitoba,Mixed Farming,32,2242.0,198.0,2011-07-01,C. Friesen
BOR-1033,Anholt Qu'Appelle Valley Grain Co.,Alberta,Grain & Oilseed,19,2658.0,,2013-07-01,R. Yaremko
BOR-1034,Kowalski Twin Creek AgriBusiness Ltd.,Saskatchewan,Mixed Farming,36,864.0,101.0,2011-07-01,P. Anholt
BOR-1035,Lund Sunrise Cattle Co.,Alberta,Livestock,19,,564.0,2018-07-01,M. Reimer
BOR-1036,Harder Sunrise Grain Co.,Saskatchewan,Grain & Oilseed,27,3132.0,,2022-07-01,K. Lund
BOR-1037,Kristoff Silver Birch Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,22,835.0,,2023-07-01,M. Reimer
BOR-1038,Toews Elk Valley Family Farm,Manitoba,Mixed Farming,18,2789.0,770.0,2025-07-01,P. Anholt
BOR-1039,Kristoff Prairie Dairy Farm Ltd.,Alberta,Dairy,6,,73.0,2023-07-01,J. Halvorsen
BOR-1040,Braun Coulee Farms Ltd.,Manitoba,Grain & Oilseed,18,2590.0,,2014-07-01,C. Friesen
BOR-1041,Klassen Rimrock Farms Ltd.,Alberta,Grain & Oilseed,12,1950.0,,2025-07-01,J. Halvorsen
BOR-1042,Loewen Twin Creek Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,5,248.0,,2021-07-01,A. Dubois
BOR-1043,Enns Qu'Appelle Valley AgriBusiness Ltd.,Manitoba,Mixed Farming,17,1631.0,253.0,2013-07-01,T. Braun
BOR-1044,Novak Northern Farms Ltd.,Saskatchewan,Grain & Oilseed,40,846.0,,2018-07-01,J. Halvorsen
BOR-1045,Voss Northern Farms Ltd.,Alberta,Grain & Oilseed,9,2228.0,,2024-07-01,C. Friesen
BOR-1046,Novikov Rolling Hills Grain Co.,Manitoba,Grain & Oilseed,30,2172.0,,2019-07-01,D. Sorensen
BOR-1047,Neufeld Northern Farms Ltd.,Alberta,Grain & Oilseed,30,2111.0,,2021-07-01,D. Sorensen
BOR-1048,Thorsen Elk Valley Ranch Ltd.,Saskatchewan,Livestock,14,,442.0,2019-07-01,T. Braun
BOR-1049,Anholt Cypress Hills Dairy Ltd.,Alberta,Dairy,15,,108.0,2021-07-01,R. Yaremko
BOR-1050,Voss Northern AgriBusiness Ltd.,Alberta,Mixed Farming,17,2231.0,351.0,2021-07-01,P. Anholt
BOR-1051,Lund Twin Creek Farms Ltd.,Saskatchewan,Grain & Oilseed,5,362.0,,2024-07-01,T. Braun
BOR-1052,Voss Big Sky Grain Co.,Alberta,Grain & Oilseed,13,1204.0,,2020-07-01,P. Anholt
BOR-1053,Kessler Prairie Dairy Ltd.,Saskatchewan,Dairy,21,,152.0,2022-07-01,D. Sorensen
BOR-1054,Martens Cypress Hills Farms Ltd.,Manitoba,Mixed Farming,35,1876.0,551.0,2021-07-01,J. Halvorsen
BOR-1055,Whitfield Meadowbrook Grain Farms Ltd.,Manitoba,Grain & Oilseed,13,231.0,,2022-07-01,A. Dubois
BOR-1056,Petrov Coulee Dairy Ltd.,Alberta,Dairy,16,,359.0,2015-07-01,S. Kowalski
BOR-1057,Baumann Rolling Hills AgriBusiness Ltd.,Alberta,Mixed Farming,12,950.0,292.0,2021-07-01,S. Kowalski
BOR-1058,O'Neil Prairie Grain Co.,Saskatchewan,Grain & Oilseed,24,605.0,,2012-07-01,T. Braun
BOR-1059,Schmidt Whitecap Family Farm,Alberta,Mixed Farming,33,1439.0,361.0,2016-07-01,D. Sorensen
BOR-1060,Thorsen Long Grass Dairy Farm Ltd.,Alberta,Dairy,20,,69.0,2011-07-01,R. Yaremko
BOR-1061,Janzen Bluestem Cattle Co.,Manitoba,Livestock,23,,159.0,2016-07-01,J. Halvorsen
BOR-1062,Halvorsen Coulee Farms Ltd.,Manitoba,Grain & Oilseed,10,618.0,,2025-07-01,J. Halvorsen
BOR-1063,Peters Rimrock Grain Farms Ltd.,Manitoba,Grain & Oilseed,36,2034.0,,2019-07-01,J. Halvorsen
BOR-1064,Marchand Cypress Hills Farms Ltd.,Saskatchewan,Mixed Farming,3,6091.0,53.0,2025-07-01,M. Reimer
BOR-1065,O'Neil Cypress Hills Grain Co.,Saskatchewan,Grain & Oilseed,7,1922.0,,2022-07-01,D. Sorensen
BOR-1066,Peters Qu'Appelle Valley AgriBusiness Ltd.,Alberta,Mixed Farming,19,4527.0,578.0,2017-07-01,S. Kowalski
BOR-1067,Larsen Rimrock Dairy Farm Ltd.,Alberta,Dairy,15,,130.0,2011-07-01,P. Anholt
BOR-1068,Giesbrecht Rimrock Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,3,2038.0,,2024-07-01,C. Friesen
BOR-1069,Petrov Prairie Farms Ltd.,Saskatchewan,Mixed Farming,22,2752.0,474.0,2017-07-01,P. Anholt
BOR-1070,Braun Northern Livestock Co.,Saskatchewan,Livestock,14,,205.0,2016-07-01,D. Sorensen
BOR-1071,Neufeld Red River Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,10,1486.0,,2018-07-01,S. Kowalski
BOR-1072,Radke Wheatland Dairy Ltd.,Saskatchewan,Dairy,16,,237.0,2021-07-01,T. Braun
BOR-1073,Peters Prairie Ranch Ltd.,Alberta,Livestock,25,,226.0,2018-07-01,C. Friesen
BOR-1074,Kessler Meadowbrook Dairy Ltd.,Alberta,Dairy,26,,110.0,2021-07-01,M. Reimer
BOR-1075,Novak Golden Field Farms Ltd.,Saskatchewan,Mixed Farming,26,274.0,460.0,2023-07-01,M. Reimer
BOR-1076,Kristoff Elk Valley Family Farm,Saskatchewan,Mixed Farming,14,1745.0,119.0,2023-07-01,D. Sorensen
