snapshot_month,year,month_number,month_name,quarter,month_year_label
2024-08-01,2024,8,August,Q3,Aug 2024
2024-09-01,2024,9,September,Q3,Sep 2024
2024-10-01,2024,10,October,Q4,Oct 2024
2024-11-01,2024,11,November,Q4,Nov 2024
2024-12-01,2024,12,December,Q4,Dec 2024
2025-01-01,2025,1,January,Q1,Jan 2025
2025-02-01,2025,2,February,Q1,Feb 2025
2025-03-01,2025,3,March,Q1,Mar 2025
2025-04-01,2025,4,April,Q2,Apr 2025
2025-05-01,2025,5,May,Q2,May 2025
2025-06-01,2025,6,June,Q2,Jun 2025
2025-07-01,2025,7,July,Q3,Jul 2025
2025-08-01,2025,8,August,Q3,Aug 2025
2025-09-01,2025,9,September,Q3,Sep 2025
2025-10-01,2025,10,October,Q4,Oct 2025
2025-11-01,2025,11,November,Q4,Nov 2025
2025-12-01,2025,12,December,Q4,Dec 2025
2026-01-01,2026,1,January,Q1,Jan 2026
2026-02-01,2026,2,February,Q1,Feb 2026
2026-03-01,2026,3,March,Q1,Mar 2026
2026-04-01,2026,4,April,Q2,Apr 2026
2026-05-01,2026,5,May,Q2,May 2026
2026-06-01,2026,6,June,Q2,Jun 2026
2026-07-01,2026,7,July,Q3,Jul 2026
