loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,interest_rate,amortization_years,collateral_type,collateral_value,loan_status
LN-20001,BOR-1001,Equipment Loan,2026-04-01,2033-04-01,780800.0,0.0608,7,Equipment,1046100.0,Active
LN-20002,BOR-1001,Operating Line of Credit,2021-07-01,2026-07-01,468000.0,0.0751,1,General Security Agreement,670000.0,Active
LN-20003,BOR-1002,Operating Line of Credit,2017-11-01,2026-11-01,466100.0,0.0824,1,General Security Agreement,585200.0,Active
LN-20004,BOR-1003,Term Loan,2024-11-01,2034-11-01,369200.0,0.0679,10,General Security Agreement,504000.0,Active
LN-20005,BOR-1004,Operating Line of Credit,2023-06-01,2027-06-01,415800.0,0.0876,1,General Security Agreement,571100.0,Active
LN-20006,BOR-1005,Operating Line of Credit,2024-01-01,2027-01-01,223900.0,0.0779,1,General Security Agreement,304400.0,Active
LN-20007,BOR-1005,Farm Mortgage,2025-10-01,2040-10-01,1725600.0,0.0649,15,Farmland,2581600.0,Active
LN-20008,BOR-1006,Term Loan,2018-12-01,2025-12-01,390300.0,0.0762,7,General Security Agreement,591000.0,Paid Off
LN-20009,BOR-1006,Farm Mortgage,2021-10-01,2041-10-01,588800.0,0.0686,20,Farmland,1076000.0,Active
LN-20010,BOR-1007,Term Loan,2025-10-01,2032-10-01,795900.0,0.0703,7,Farmland,1391200.0,Active
LN-20011,BOR-1008,Term Loan,2019-09-01,2026-09-01,359900.0,0.0688,7,General Security Agreement,427900.0,Active
LN-20012,BOR-1009,Term Loan,2026-02-01,2033-02-01,513500.0,0.0735,7,General Security Agreement,748400.0,Active
LN-20013,BOR-1009,Farm Mortgage,2020-11-01,2045-11-01,393000.0,0.0639,25,Farmland,845800.0,Active
LN-20014,BOR-1010,Term Loan,2023-11-01,2033-11-01,541800.0,0.0676,10,General Security Agreement,670200.0,Active
LN-20015,BOR-1011,Term Loan,2022-06-01,2027-06-01,797200.0,0.0682,5,Farmland,1720700.0,Active
LN-20016,BOR-1012,Operating Line of Credit,2023-11-01,2026-11-01,138600.0,0.0715,1,General Security Agreement,166500.0,Active
LN-20017,BOR-1013,Term Loan,2019-03-01,2026-03-01,790900.0,0.078,7,General Security Agreement,1099800.0,Paid Off
LN-20018,BOR-1014,Term Loan,2017-10-01,2024-10-01,200600.0,0.0694,7,Farmland,439600.0,Paid Off
LN-20019,BOR-1015,Farm Mortgage,2019-08-01,2034-08-01,1106000.0,0.0586,15,Farmland,1532600.0,Active
