loan_id,snapshot_month,outstanding_balance,scheduled_payment,days_past_due,dpd_bucket,risk_tier,loan_status_snapshot,watch_list_flag
LN-20001,2026-04-01,780800.0,11436.33,0,Current,3,Active,N
LN-20001,2026-05-01,773319.73,11436.33,0,Current,3,Active,N
LN-20001,2026-06-01,765801.55,11436.33,0,Current,3,Active,N
LN-20001,2026-07-01,758245.28,11436.33,0,Current,3,Active,N
LN-20002,2024-08-01,246882.55,1545.07,0,Current,3,Active,N
LN-20002,2024-09-01,255699.0,1600.25,0,Current,3,Active,N
LN-20002,2024-10-01,231256.68,1447.28,0,Current,3,Active,N
LN-20002,2024-11-01,169519.64,1060.91,0,Current,3,Active,N
LN-20002,2024-12-01,250723.4,1569.11,0,Current,3,Active,N
LN-20002,2025-01-01,209379.36,1310.37,0,Current,3,Active,N
LN-20002,2025-02-01,286903.9,1795.54,0,Current,3,Active,N
LN-20002,2025-03-01,274733.03,1719.37,0,Current,3,Active,N
LN-20002,2025-04-01,289961.93,1814.68,0,Current,3,Active,N
LN-20002,2025-05-01,399944.87,2502.99,0,Current,3,Active,N
LN-20002,2025-06-01,340236.04,2129.31,0,Current,3,Active,N
LN-20002,2025-07-01,295450.07,1849.03,0,Current,3,Active,N
LN-20002,2025-08-01,236911.17,1482.67,0,Current,3,Active,N
LN-20002,2025-09-01,253142.84,1584.25,0,Current,3,Active,N
LN-20002,2025-10-01,204039.84,1276.95,0,Current,3,Active,N
LN-20002,2025-11-01,222736.82,1393.96,0,Current,3,Active,N
LN-20002,2025-12-01,231714.53,1450.15,0,Current,3,Active,N
LN-20002,2026-01-01,241589.21,1511.95,0,Current,3,Active,N
LN-20002,2026-02-01,147178.05,921.09,0,Current,3,Active,N
LN-20002,2026-03-01,419224.42,2623.65,0,Current,3,Active,N
LN-20002,2026-04-01,401876.76,2515.08,0,Current,3,Active,N
LN-20002,2026-05-01,418590.92,2619.68,0,Current,3,Active,N
LN-20002,2026-06-01,276917.69,1733.04,0,Current,3,Active,N
LN-20002,2026-07-01,206488.52,1292.27,0,Current,3,Active,N
LN-20003,2024-08-01,231753.82,1591.38,31,30-59 Days,3,Active,N
LN-20003,2024-09-01,288805.23,1983.13,43,30-59 Days,3,Active,N
LN-20003,2024-10-01,208376.98,1430.86,0,Current,3,Active,N
LN-20003,2024-11-01,150968.21,1036.65,1,1-29 Days,3,Active,Y
LN-20003,2024-12-01,170877.44,1173.36,8,1-29 Days,3,Active,N
LN-20003,2025-01-01,237662.35,1631.95,2,1-29 Days,3,Active,N
LN-20003,2025-02-01,325236.95,2233.29,5,1-29 Days,3,Active,N
LN-20003,2025-03-01,406193.17,2789.19,48,30-59 Days,3,Active,Y
LN-20003,2025-04-01,351525.84,2413.81,32,30-59 Days,3,Active,N
LN-20003,2025-05-01,373187.9,2562.56,0,Current,3,Active,N
LN-20003,2025-06-01,330668.0,2270.59,0,Current,3,Active,N
LN-20003,2025-07-01,218134.28,1497.86,0,Current,3,Active,N
LN-20003,2025-08-01,309966.93,2128.44,0,Current,3,Active,N
LN-20003,2025-09-01,262931.46,1805.46,0,Current,3,Active,N
LN-20003,2025-10-01,232928.1,1599.44,0,Current,3,Active,N
LN-20003,2025-11-01,278011.66,1909.01,0,Current,3,Active,N
LN-20003,2025-12-01,159669.82,1096.4,0,Current,3,Active,N
LN-20003,2026-01-01,224265.0,1539.95,0,Current,3,Active,N
LN-20003,2026-02-01,276801.32,1900.7,0,Current,3,Active,N
LN-20003,2026-03-01,368710.81,2531.81,0,Current,3,Active,N
LN-20003,2026-04-01,404631.98,2778.47,0,Current,3,Active,N
LN-20003,2026-05-01,307051.85,2108.42,0,Current,3,Active,N
LN-20003,2026-06-01,390393.29,2680.7,0,Current,3,Active,N
LN-20003,2026-07-01,226746.74,1556.99,0,Current,3,Active,N
LN-20004,2024-11-01,369200.0,4246.87,0,Current,2,Active,N
LN-20004,2024-12-01,367042.18,4246.87,0,Current,2,Active,N
LN-20004,2025-01-01,364872.16,4246.87,0,Current,2,Active,N
LN-20004,2025-02-01,362689.85,4246.87,0,Current,2,Active,N
LN-20004,2025-03-01,360495.2,4246.87,0,Current,2,Active,N
LN-20004,2025-04-01,358288.13,4246.87,0,Current,2,Active,N
LN-20004,2025-05-01,356068.57,4246.87,0,Current,2,Active,N
LN-20004,2025-06-01,353836.45,4246.87,0,Current,2,Active,N
LN-20004,2025-07-01,351591.7,4246.87,0,Current,2,Active,N
LN-20004,2025-08-01,349334.25,4246.87,0,Current,2,Active,N
LN-20004,2025-09-01,347064.03,4246.87,0,Current,2,Active,N
LN-20004,2025-10-01,344780.96,4246.87,0,Current,2,Active,N
LN-20004,2025-11-01,342484.97,4246.87,0,Current,2,Active,N
LN-20004,2025-12-01,340176.0,4246.87,0,Current,2,Active,N
LN-20004,2026-01-01,337853.95,4246.87,0,Current,2,Active,N
LN-20004,2026-02-01,335518.77,4246.87,0,Current,2,Active,N
LN-20004,2026-03-01,333170.37,4246.87,0,Current,2,Active,N
LN-20004,2026-04-01,330808.69,4246.87,0,Current,2,Active,N
LN-20004,2026-05-01,328433.64,4246.87,0,Current,2,Active,N
LN-20004,2026-06-01,326045.16,4246.87,0,Current,2,Active,N
LN-20004,2026-07-01,323643.16,4246.87,0,Current,2,Active,N
LN-20005,2024-08-01,237886.93,1736.57,0,Current,2,Active,N
LN-20005,2024-09-01,260860.11,1904.28,0,Current,2,Active,N
LN-20005,2024-10-01,240778.25,1757.68,0,Current,2,Active,N
LN-20005,2024-11-01,146011.84,1065.89,0,Current,2,Active,N
LN-20005,2024-12-01,192062.93,1402.06,0,Current,2,Active,N
LN-20005,2025-01-01,210346.66,1535.53,0,Current,2,Active,N
LN-20005,2025-02-01,258217.47,1884.99,0,Current,2,Active,N
LN-20005,2025-03-01,267274.09,1951.1,0,Current,2,Active,N
LN-20005,2025-04-01,364049.85,2657.56,0,Current,2,Active,N
LN-20005,2025-05-01,346484.11,2529.33,0,Current,2,Active,N
LN-20005,2025-06-01,314909.84,2298.84,0,Current,2,Active,N
LN-20005,2025-07-01,199862.41,1459.0,0,Current,2,Active,N
LN-20005,2025-08-01,236076.74,1723.36,0,Current,2,Active,N
LN-20005,2025-09-01,163667.05,1194.77,0,Current,2,Active,N
LN-20005,2025-10-01,171492.0,1251.89,0,Current,2,Active,N
LN-20005,2025-11-01,158714.57,1158.62,0,Current,2,Active,N
LN-20005,2025-12-01,188749.85,1377.87,0,Current,2,Active,N
LN-20005,2026-01-01,272870.14,1991.95,0,Current,2,Active,N
LN-20005,2026-02-01,277359.27,2024.72,0,Current,2,Active,N
LN-20005,2026-03-01,299805.75,2188.58,0,Current,2,Active,N
LN-20005,2026-04-01,214482.4,1565.72,0,Current,2,Active,N
LN-20005,2026-05-01,349540.53,2551.65,0,Current,2,Active,N
LN-20005,2026-06-01,307641.54,2245.78,0,Current,2,Active,N
LN-20005,2026-07-01,198777.19,1451.07,0,Current,2,Active,N
LN-20006,2024-08-01,113735.43,738.33,0,Current,2,Active,N
LN-20006,2024-09-01,136936.12,888.94,0,Current,2,Active,N
LN-20006,2024-10-01,104609.55,679.09,0,Current,2,Active,N
LN-20006,2024-11-01,137965.88,895.63,0,Current,2,Active,N
LN-20006,2024-12-01,68341.51,443.65,0,Current,2,Active,N
LN-20006,2025-01-01,135324.93,878.48,17,1-29 Days,2,Active,Y
LN-20006,2025-02-01,162902.88,1057.51,0,Current,2,Active,N
LN-20006,2025-03-01,148729.03,965.5,0,Current,2,Active,N
LN-20006,2025-04-01,169020.73,1097.23,0,Current,2,Active,N
LN-20006,2025-05-01,155494.71,1009.42,0,Current,2,Active,N
LN-20006,2025-06-01,175178.01,1137.2,0,Current,2,Active,N
LN-20006,2025-07-01,103976.58,674.98,92,90+ Days,3,Active,Y
LN-20006,2025-08-01,122791.71,797.12,160,90+ Days,3,Active,N
LN-20006,2025-09-01,65828.47,427.34,0,Current,2,Active,N
LN-20006,2025-10-01,120631.08,783.1,0,Current,2,Active,N
LN-20006,2025-11-01,115235.61,748.07,0,Current,2,Active,N
LN-20006,2025-12-01,133733.14,868.15,0,Current,2,Active,N
LN-20006,2026-01-01,100241.15,650.73,0,Current,2,Active,N
LN-20006,2026-02-01,138080.63,896.37,0,Current,2,Active,N
LN-20006,2026-03-01,196735.69,1277.14,0,Current,2,Active,N
LN-20006,2026-04-01,198617.13,1289.36,0,Current,2,Active,N
LN-20006,2026-05-01,172418.83,1119.29,0,Current,2,Active,N
LN-20006,2026-06-01,182959.55,1187.71,0,Current,2,Active,N
